state_id,party_id,general_votes,postal_votes,total_votes,total_electors
8,164,28487,20,28507,13479379
8,269,29119,36,29155,4810071
8,377,4709,0,4709,2506300
8,385,8443,1,8444,4810071
9,NULL,5566,0,5566,1190766
9,1,6522,1,6523,2508373
9,9,521,0,521,1207230
9,25,803,0,803,1301143
9,33,4386,6,4392,3317227
9,35,1568,0,1568,1301143
9,52,3285,1,3286,1301143
9,71,3980,4,3984,3317227
9,80,1151516,2704,1154220,7183129
9,110,54082,9,54091,5809136
9,163,814858,652,815510,3483990
9,164,223416,82,223498,45286852
9,187,396705,8,396713,3699139
9,188,43440,12,43452,7016366
9,191,732516,128,732644,7016366
9,193,1809,0,1809,1469072
9,197,71154,0,71154,1190766
9,269,31543,7,31550,7183129
9,294,2694,0,2694,1190766
9,374,6042,0,6042,1848155
9,385,6842,1,6843,4618370
10,NULL,5730,3,5733,3957253
10,1,254367,134,254501,46209813
10,25,586,0,586,1998724
10,31,2275,1,2276,1931456
10,43,4927,0,4927,3262239
10,67,8987,3,8990,8257554
10,73,4291,0,4291,3322952
10,80,13338809,11476,13350285,46209813
10,92,5190,2,5192,6379233
10,110,264896,110,265006,46209813
10,123,28201,2,28203,4428524
10,124,7885,0,7885,6101543
10,125,16029,2,16031,9350865
10,126,35445,20,35465,3223629
10,137,1342,0,1342,1723134
10,150,4728,0,4728,6353961
10,163,12661228,5302,12666530,46209813
10,164,483438,75,483513,328317323
10,178,3404108,2357,3406465,41658890
10,179,11864,3,11867,10172421
10,204,4270,0,4270,3751884
10,212,33158,14,33172,16201093
10,213,707,0,707,1931456
10,214,1345,0,1345,2190398
10,227,2881,0,2881,1661606
10,260,42735,3,42738,1442206
10,261,3618,0,3618,1661606
10,269,257786,95,257881,46209813
10,292,9601,5,9606,6806685
10,310,2800,3,2803,3009348
10,325,2129,0,2129,1535105
10,334,18883,3,18886,16145612
10,345,2862,0,2862,1600962
10,375,27253,1,27254,1565219
10,380,15464,10,15474,10815424
10,385,17581,1,17582,13084131
10,394,24114,4,24118,10379846
10,424,3972,0,3972,1522712
10,427,3747,0,3747,1600962
11,NULL,546,0,546,1275288
11,1,256236,426,256662,18117136
11,31,4298,1,4299,6176279
11,80,1854786,2010,1856796,21893861
11,110,71290,26,71316,24326650
11,123,1361632,2378,1364010,5050124
11,125,11067,3,11070,9504667
11,126,3871169,9486,3880655,12144642
11,163,5577984,12301,5590285,18357811
11,164,2041679,1987,2043666,149880431
11,173,815929,297,816226,2379233
11,178,302981,614,303595,1161465
11,179,3864,1,3865,3683178
11,215,423463,731,424194,1161465
11,269,210370,193,210563,24326650
11,333,292,0,292,1272748
11,334,997,0,997,2524146
11,343,407021,1507,408528,1219415
11,344,43006,45,43051,1271324
11,375,273808,41,273849,24326650
11,377,10181,0,10181,4883369
11,378,307287,310,307597,1208726
11,383,682,0,682,1323906
11,388,6512,0,6512,2429240
11,394,18106,20,18126,6282111
11,427,68247,85,68332,6058485
12,NULL,50716,6,50722,26529385
12,1,349036,452,349488,48121301
12,7,2244,0,2244,1876965
12,15,2252,3,2255,1759417
12,16,7829,1,7830,6663174
12,25,15133,2,15135,6455007
12,31,2114,0,2114,1702457
12,39,1067,0,1067,1876965
12,42,8544,0,8544,1703272
12,58,39624,5,39629,8105333
12,62,1679,0,1679,1702833
12,63,1936,0,1936,1702833
12,74,4954,2,4956,1824702
12,80,16000338,15357,16015695,48121301
12,91,3441,0,3441,1626556
