state_id,party_id,general_votes,postal_votes,total_votes,total_electors
6,59,495,2,497,1971658
6,80,18002254,89021,18091275,45152373
6,92,20676,147,20823,10369407
6,94,5258,13,5271,3400656
6,104,613,0,613,1971658
6,106,734,9,743,1945772
6,110,247305,1879,249184,43496669
6,123,5732,3,5735,1655704
6,152,22351,131,22482,16107862
6,163,9283128,53956,9337084,45152373
6,164,625271,1358,626629,344530467
6,229,699,6,705,1811851
6,260,27144,161,27305,5401234
6,269,397725,3207,400932,45152373
6,279,1332,14,1346,1811851
6,292,1468,4,1472,3627362
6,345,3013,3,3016,1971658
6,395,13875,9,13884,5265853
6,429,1294,2,1296,3627362
6,430,3381,10,3391,3539217
6,479,1093,4,1097,1794896
6,518,707,6,713,1662368
6,521,1691,1,1692,1826526
6,557,856,2,858,1794896
6,570,987,5,992,1648869
6,579,178876,1384,180260,10178362
6,603,10423,46,10469,5444873
6,605,1514,10,1524,1662368
6,630,3620,26,3646,7202657
6,653,3220,110,3330,3580148
6,677,625,10,635,1811851
6,684,1879,8,1887,3455168
6,717,2442,7,2449,1811851
6,739,2157,6,2163,3589089
6,772,532,0,532,1655704
6,790,808,3,811,1971658
6,797,3741,21,3762,3387638
6,801,3253,3,3256,1642864
6,808,3557,20,3577,7056810
6,811,1268,22,1290,1801717
6,813,602,2,604,1811851
6,822,3279,3,3282,5191881
6,854,2128,14,2142,3798184
6,856,1613,1,1614,3766554
6,892,14850,124,14974,6889041
6,895,10092,55,10147,10425880
7,1,45378,120,45498,5829720
7,8,1023,4,1027,2150728
7,25,1522,1,1523,3664427
7,55,467,4,471,2071816
7,80,7317269,40078,7357347,18057010
7,92,11156,6,11162,9511421
7,104,4513,19,4532,9536939
7,110,460562,711,461273,14810082
7,123,7540,23,7563,1853711
7,125,9136,14,9150,1631817
7,163,3595408,8698,3604106,18057010
7,164,135366,271,135637,149242635
7,166,239702,556,240258,18057010
7,225,478,0,478,2071816
7,269,41408,373,41781,18057010
7,313,774,0,774,1904193
7,316,532,3,535,1592611
7,333,439,4,443,1654317
7,334,2123,5,2128,1853711
7,336,462,1,463,2071816
7,339,1868,0,1868,2150728
7,353,475,2,477,2071816
7,377,6743,18,6761,5858270
7,426,2474,4,2478,4222544
7,457,6695,34,6729,14621844
7,458,715,1,716,2071816
7,488,545,6,551,1904193
7,518,335,22,357,1592611
7,535,4526,61,4587,8273213
7,543,2039,170,2209,3286134
7,547,765,1,766,1657335
7,550,2687,1,2688,2071816
7,590,337,9,346,2150728
7,594,416,6,422,1737133
7,610,1190,2,1192,2071816
7,640,1235,8,1243,1904193
7,646,617807,2163,619970,12227290
7,680,55128,152,55280,3246928
7,702,595,10,605,1592611
7,721,974,11,985,1657335
7,739,10840,9,10849,11441132
7,744,8049,45,8094,13834466
7,750,1769,8,1777,1631817
7,760,650,8,658,2150728
7,763,527,0,527,2150728
7,766,8993,12,9005,10922221
7,786,507,2,509,1592611
7,789,1848,3,1851,1803349
7,847,5025,2,5027,3496804
7,849,770,0,770,1631817
7,856,5732,28,5760,7134789
7,871,330,0,330,2071816
