state_id,pc_id,general_votes,postal_votes,total_votes,total_electors
23,362,1279669,2537,1282206,1958939
23,363,1060161,760,1060921,1679506
23,364,1182209,1260,1183469,1828764
23,365,1167308,1874,1169182,1646435
23,366,1212076,4337,1216413,1892931
23,367,1037061,7833,1044894,1616476
23,368,1521892,2564,1524456,2728978
23,369,1389655,3297,1392952,2302960
23,370,1118442,5187,1123629,1787925
23,371,1156030,7154,1163184,1887127
23,372,1144035,6259,1150294,1864320
23,373,1098112,4619,1102731,1807893
23,374,1141455,3868,1145323,1937690
23,375,1031004,6147,1037151,1718837
23,376,1072480,3386,1075866,1790510
23,377,972697,3821,976518,1723236
23,378,997853,1754,999607,1621295
23,379,1079101,2010,1081111,1891576
23,380,1050493,2302,1052795,1785605
23,381,1065768,2574,1068342,1797655
23,382,1182890,3699,1186589,1761207
23,383,1179974,6183,1186157,2114201
23,384,1136203,457,1136660,1770699
23,385,1063178,662,1063840,1644674
23,386,1063378,1143,1064521,1666126
23,387,1055392,2166,1057558,1807119
23,388,1025063,1605,1026668,1796932
23,389,1235546,1530,1237076,2191465
23,390,1263936,5658,1269594,2023431
23,391,1107100,9345,1116445,2040367
23,392,955321,3235,958556,1702248
23,393,940981,1472,942453,1743515
23,394,999041,1275,1000316,1775196
23,395,910015,4650,914665,1708759
23,396,1000373,2580,1002953,1708585
23,397,1023450,4365,1027815,1757984
23,398,1137100,3396,1140496,1874824
23,399,838253,4741,842994,1632983
23,400,1019142,6172,1025314,1766121
23,401,1126783,3172,1129955,1933358
23,402,1379407,1483,1380890,2040739
23,403,1087886,1892,1089778,1749100
23,404,1033276,1273,1034549,1702024
23,405,1039234,4421,1043655,1839312
23,406,971685,2753,974438,1787120
23,407,974326,3910,978236,2010477
23,408,886815,2241,889056,1716160
23,409,1154818,523,1155341,1816830
23,410,1085766,1355,1087121,1821785
23,411,1088465,1687,1090152,1785657
23,412,988910,938,989848,1729908
23,413,979823,1577,981400,1805946
23,414,996486,521,997007,1914739
23,415,922184,1632,923816,1770248
23,416,985115,154,985269,1885433
23,417,1048885,5654,1054539,1845223
23,418,1060806,2584,1063390,1962903
23,419,1225686,1230,1226916,1915408
23,420,1181222,3413,1184635,1981197
23,421,1049179,3938,1053117,1761564
23,422,1008896,6467,1015363,1754195
23,423,965064,4072,969136,1751258
23,424,958322,2246,960568,1751980
23,425,1025648,3464,1029112,1789168
23,426,1137117,3664,1140781,1991651
23,427,915811,6707,922518,1667282
23,428,981112,8620,989732,1822625
23,429,1038560,2092,1040652,1867976
23,430,1032111,2814,1034925,1848306
23,431,1099890,5737,1105627,1881077
23,432,1080060,4901,1084961,1756837
23,433,1058744,1732,1060476,1856791
23,434,1037229,2161,1039390,1942514
23,435,1107660,1305,1108965,1845150
23,436,987589,698,988287,1723538
24,437,1520352,4331,1524683,1814200
24,438,1375905,4312,1380217,1648383
24,439,1497711,3211,1500922,1735464
24,440,1260125,7145,1267270,1611317
24,441,1272557,4552,1277109,1601220
24,442,1195340,2509,1197849,1431704
24,443,1351830,2876,1354706,1685955
24,444,1275398,3804,1279202,1575590
24,445,1302916,1588,1304504,1616213
24,446,1296057,3940,1299997,1638378
24,447,1451983,1772,1453755,1725187
24,448,1361331,5112,1366443,1631698
24,449,1478955,5080,1484035,1762252
24,450,1404466,3292,1407758,1704632
24,451,1102567,1950,1104517,1436431
24,452,1203107,1553,1204660,1566196
24,453,1393270,2159,1395429,1718252
24,454,1432476,863,1433339,1678357
24,456,1400919,1034,1401953,1652096
24,457,1407987,1015,1409002,1719190
24,458,1434826,2068,1436894,1816857
24,459,1204236,2409,1206645,1728851
24,460,949453,1160,950613,1444082
24,461,1221359,934,1222293,1633925
24,462,1310017,1082,1311099,1614988
24,463,1400042,1663,1401705,1785472
24,464,1455468,2374,1457842,1766601
24,465,1470432,1549,1471981,1764726
24,466,1443916,2583,1446499,1694646
24,467,1421750,2497,1424247,1660147
24,468,1486600,2218,1488818,1800002
24,469,1401306,4908,1406214,1641868
24,470,1406977,2838,1409815,1674236
24,471,1352242,2994,1355236,1645884
24,472,1367485,4370,1371855,1648906
24,473,1417871,2777,1420648,1627199
24,474,1437864,1422,1439286,1698089
24,476,1237232,903,1238135,1615865
24,477,1458949,2320,1461269,1705073
24,478,1447123,2300,1449423,1699219
24,533,1355391,711,1356102,1648355
24,534,1431475,1532,1433007,1733578
25,479,1045312,2345,1047657,1454436
25,480,1023538,2430,1025968,1397253
25,481,1188969,5067,1194036,1716766
25,482,922361,3576,925937,1425218
25,483,1208254,1287,1209541,1814125
25,484,1103690,3228,1106918,1649413
25,485,1249151,3666,1252817,2072634
25,486,1230932,3994,1234926,1915959
25,487,1143317,909,1144226,1703279
25,488,878480,849,879329,1269917
25,489,830426,1951,832377,1202664
25,490,813860,3690,817550,1234286
25,491,1205969,3778,1209747,1881441
25,492,1079155,1774,1080929,1667465
26,493,863806,12263,876069,1493543
26,494,721349,21435,742784,1355796
26,495,677924,16548,694472,1337808
26,496,1249256,9314,1258570,1828433
26,497,1265213,5817,1271030,1840738
27,498,207080,216,207296,318471
28,499,456207,361,456568,646729
29,547,198925,58,198983,250029
30,501,87441,28,87469,121740
31,502,978921,1469,980390,1562283
31,503,1458046,3429,1461475,2290492
31,504,1256314,1507,1257821,2039302
31,505,919056,1485,920541,1617470
31,506,1401842,1120,1402962,2378995
31,507,1437087,4514,1441601,2371644
31,508,1212511,1711,1214222,2067463
32,509,46877,132,47009,55189
33,510,790252,508,790760,973410
34,535,1278392,2297,1280689,1655239
34,536,1346863,3261,1350124,1733805
34,537,1242980,4670,1247650,1897134
34,538,1135036,1867,1136903,1508840
34,539,1207383,2051,1209434,1876953
34,540,1304496,2537,1307033,1716459
34,541,1389361,2635,1391996,1940269
34,542,1393291,2959,1396250,2111738
34,543,1219760,2575,1222335,1637951
34,544,909975,2871,912846,1379122
34,545,1154829,4364,1159193,1558952
35,511,1242020,5892,1247912,1596290
35,512,1097672,2457,1100129,1531525
35,513,1121164,3291,1124455,1468530
35,514,1173526,2766,1176292,1516688
35,515,1145512,4845,1150357,1493205
35,516,1154421,3450,1157871,1531781
35,517,1219875,5281,1225156,1661661
35,518,1085848,6236,1092084,1475007
35,519,1126650,4872,1131522,1504403
35,520,1304050,2655,1306705,1744446
35,521,1222906,5386,1228292,1611056
35,522,1157197,2503,1159700,1461004
35,523,939498,2487,941985,1288666
35,524,1057444,2046,1059490,1518996
35,525,1234873,3341,1238214,1710916
35,526,1225615,3575,1229190,1643595
35,527,1132803,2817,1135620,1562331
35,528,1003704,1511,1005215,1699678
35,529,1011541,2321,1013862,1541145
35,530,987163,2747,989910,1502455
35,531,1076372,3789,1080161,1434384
