pc_id,state_id,pc_name
478,24,Birbhum
479,25,Rajmahal
480,25,Dumka
481,25,Godda
482,25,Chatra
483,25,Kodarma
484,25,Giridih
485,25,Dhanbad
486,25,Ranchi
487,25,Jamshedpur
488,25,Singhbhum
489,25,Khunti
490,25,Lohardaga
491,25,Palamau
492,25,Hazaribagh
493,26,Tehri Garhwal
494,26,Garhwal
495,26,Almora
496,26,Nainital-Udhamsingh Nagar
497,26,Hardwar
498,27,Andaman & Nicobar Islands
499,28,Chandigarh
500,29,Dadar & Nagar Haveli
501,30,Daman & Diu
502,31,Chandni Chowk
503,31,North East Delhi
504,31,East Delhi
505,31,New Delhi
506,31,North West Delhi
507,31,West Delhi
508,31,South Delhi
509,32,Lakshadweep
510,33,Puducherry
511,35,Bargarh
512,35,Sundargarh
513,35,Sambalpur
514,35,Keonjhar
515,35,Mayurbhanj
516,35,Balasore
517,35,Bhadrak
518,35,Jajpur
519,35,Dhenkanal
520,35,Bolangir
521,35,Kalahandi
522,35,Nabarangpur
523,35,Kandhamal
524,35,Cuttack
525,35,Kendrapara
526,35,Jagatsinghpur
527,35,Puri
528,35,Bhubaneswar
529,35,Aska
530,35,Berhampur
531,35,Koraput
532,19,Bikaner (Sc)
533,24,Jaynagar
534,24,Bardhaman Durgapur
535,34,Sarguja
536,34,Raigarh
537,34,Janjgir-Champa
538,34,Korba
539,34,Bilaspur
540,34,Rajnandgaon
541,34,Durg
542,34,Raipur
543,34,Mahasamund
544,34,Bastar
545,34,Kanker
546,0,Chevella
547,29,Dadra And Nagar Haveli
