candidate,sex,age,general_votes,postal_votes,total_votes,total_electors,state_id,category_id,party_id,pc_id
GUDIVAKA RAMANJANEYULU (ANJI BABU),M,35,6374,107,6481,1473347,1,3,80,27
GOLLU KRISHNA,M,55,12233,77,12310,1473347,1,3,163,27
BALASHOWRY VALLABHANENI,M,50,567592,5258,572850,1473347,1,3,428,27
PERAM SIVA NAGESWARA RAO,M,51,3625,2,3627,1473347,1,3,334,27
BANDREDDI RAMAKRISHNA,M,44,112566,876,113442,1473347,1,3,647,27
YARLAGADDA RAMA MOHANA RAO,M,56,1016,1,1017,1473347,1,3,518,27
VALLURU VENKATESWARA RAO,M,66,824,2,826,1473347,1,3,292,27
GANDHI DHANEKULA,M,70,846,0,846,1473347,1,3,164,27
NADAKUDITI NAGA GAYATHRI,F,38,772,2,774,1473347,1,3,164,27
G. V. N. BASAVA RAO,M,26,894,1,895,1473347,1,3,164,27
VIJAYA LAKSHMI CHALAPAKA,F,39,4776,13,4789,1473347,1,3,164,27
NOTA,null,null,14067,34,14101,1473347,1,null,269,27
KILARU DILEEP,M,48,18411,93,18504,1652994,1,3,80,28
KESINENI SRINIVAS (NANI),M,53,573929,1569,575498,1652994,1,3,406,28
NARAHARISETTY. NARASIMHARAO.,M,58,16204,57,16261,1652994,1,3,163,28
POTLURI.V.PRASAD ( P V P ),M,48,564174,2598,566772,1652994,1,3,428,28
ANDUKURI VIJAYA BHASKAR,M,49,2457,0,2457,1652994,1,2,623,28
DATLA LURDU MARY,F,43,433,1,434,1652994,1,2,698,28
PADALA SIVA PRASAD,M,62,480,0,480,1652994,1,3,725,28
Muttamsetty Prasad babu,M,66,81416,234,81650,1652994,1,3,647,28
SEKHAR,M,31,683,2,685,1652994,1,3,292,28
Sk. Riyaz,M,31,412,0,412,1652994,1,3,173,28
ANIL KUMAR MADDINENI,M,39,1049,0,1049,1652994,1,3,164,28
DHANEKULA GANDHI,M,70,687,1,688,1652994,1,3,164,28
NANDINI NALLAGHATLA,F,43,951,2,953,1652994,1,3,164,28
BOLISETTY HARI BABU,M,60,1739,0,1739,1652994,1,3,164,28
MOHAMMAD ISHAQ,M,47,1218,0,1218,1652994,1,3,164,28
NOTA,null,null,8889,22,8911,1652994,1,null,269,28
Jayadev Galla,M,53,586292,1626,587918,1706119,1,3,406,29
Jayaprakash Narayana Valluru,M,44,11667,174,11841,1706119,1,3,80,29
Modugula Venugopala Reddy,M,52,580840,2873,583713,1706119,1,3,428,29
Shaik Mastanvali,M,53,14124,81,14205,1706119,1,3,163,29
Araveti Hazarath Rao,M,68,808,2,810,1706119,1,3,292,29
Ullagi David Jayakumar (Dr. D J Kumar),M,61,447,0,447,1706119,1,3,612,29
Jeldi Raja Mohan,M,61,437,0,437,1706119,1,2,480,29
Nagaraju Ekula,M,42,920,0,920,1706119,1,2,334,29
Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav),M,50,128746,459,129205,1706119,1,3,647,29
Mannava Hariprasad,M,55,3212,4,3216,1706119,1,3,125,29
Ramarao Simhadri,M,41,1744,2,1746,1706119,1,3,742,29
N. J. Vidyasagar,M,51,639,2,641,1706119,1,2,421,29
Sarabandi Raju Sikhinam,M,35,1015,2,1017,1706119,1,2,162,29
Shaik Jaleel,M,43,560,3,563,1706119,1,3,725,29
Samudrala Chinna Kotaiah,M,41,628,0,628,1706119,1,2,710,29
Umar Basha Shaik,M,29,2676,0,2676,1706119,1,3,164,29
Dasari Kiran Babu,M,37,2907,2,2909,1706119,1,2,164,29
Doppalapudi Veera Das,M,60,629,0,629,1706119,1,2,164,29
Y. V. Suresh,M,50,1947,0,1947,1706119,1,3,164,29
NOTA,null,null,5972,34,6006,1706119,1,null,269,29
KANNA LAKSHMI NARAYANA,M,64,15255,231,15486,1670391,1,3,80,30
PAKKALA SURIBABU,M,60,10977,56,11033,1670391,1,3,163,30
RAYAPATI SAMBASIVARAO,M,75,589344,2211,591555,1670391,1,3,406,30
LAVU SRI KRISHNA DEVARAYALU,M,35,740509,5048,745557,1670391,1,3,428,30
ALLU VENKATAREDDY,M,49,2890,4,2894,1670391,1,3,292,30
KANAKAM SRINIVASARAO,M,40,883,4,887,1670391,1,3,720,30
NAYUB KAMAL SHAIK,M,52,50713,295,51008,1670391,1,3,647,30
SURABHI DEVASAHAYAM,M,46,418,0,418,1670391,1,2,173,30
KANTE SAYANNA,M,40,364,1,365,1670391,1,3,164,30
GADDALA VENU,M,28,619,3,622,1670391,1,2,164,30
DURGAMPUDI RAMIREDDY,M,66,2684,1,2685,1670391,1,3,164,30
PARIMI NARASIMHA RAO,M,32,998,2,1000,1670391,1,3,164,30
REDDYBOINA PRASANNA KUMAR,M,50,1382,1,1383,1670391,1,2,164,30
NOTA,null,null,12489,38,12527,1670391,1,null,269,30
CHALLAGALI KISHORE KUMAR,M,43,9842,509,10351,1468671,1,2,80,31
K. DEVANAND,M,64,42262,318,42580,1468671,1,2,110,31
NANDIGAM SURESH,M,42,592250,6007,598257,1468671,1,2,428,31
MALYADRI SRIRAM,M,65,577403,4789,582192,1468671,1,2,406,31
J.D. SEELAM,M,65,12941,214,13155,1468671,1,2,163,31
KUMAR KATTEPOGU,M,53,877,8,885,1468671,1,2,292,31
GADDE HARI BABU,M,40,521,9,530,1468671,1,2,273,31
CHINA NAGESWARA RAO SADHU,M,35,463,3,466,1468671,1,2,698,31
THUMATI RAVI,M,46,368,2,370,1468671,1,2,496,31
NUTHAKKI RAMA RAO,M,71,600,6,606,1468671,1,2,480,31
GELLA NAGAMALLI,F,34,651,4,655,1468671,1,2,164,31
GOLLA BABURAO,M,46,1271,5,1276,1468671,1,2,164,31
BUSSA NAGARAJU,M,29,1943,8,1951,1468671,1,2,164,31
