party_id,party,symbol
379,SJP(R),Battery Torch
380,SJPA,Gas Cylinder
381,SKLP,Balloon
382,SKM,Table Lamp
383,SLAP,Bat
384,SLP(L),BUCKET
385,SP,Bicycle
386,SP(I),Battery Torch
387,SPP,Batsman
388,SRP,Telephone
389,SSAD,Chappals
390,SSD,Saw
391,SSKP,Auto- Rickshaw
392,SSPD,Candles
393,STR,Electric Pole
394,SUCI,Glass Tumbler
395,SVPP,Kite
396,SVRP,Sewing Machine
397,SWJP,Black Board
398,SWP,Whistle
399,SWPI,Pen Nib with Seven Rays
400,SWSP,Pressure Cooker
401,SABP,Cup & Saucer
402,SADA,Frying Pan
403,SASAP,Cup & Saucer
404,SAVP,Trumpet
405,SAMSP,Electric Pole
406,TDP,Bicycle
407,TECPI,Auto- Rickshaw
408,TLP,Gas Cylinder
409,TNMC,Pen Nib with Seven Rays
410,TPGC,Candles
411,TRMRPPI,Harmonium
412,TRS,Car
413,TTNC,Batsman
414,UCPI,Ring
415,UDP,Drum
416,UMK,Gas Cylinder
417,UPI,Ceiling Fan
418,UPP,Scissors
419,UPRP,Sewing Machine
420,VAJP,Walking Stick
421,VCK,Ring
422,VHS,Batsman
423,VIP,Gas Cylinder
424,VJCP,Chappals
425,VSP,Gas Stove
426,VOP,Candles
427,WPOI,Auto- Rickshaw
428,YSRCP,Ceiling Fan
429,YUS,Candles
430,AICP,CALCULATOR
431,AIMPR,Air Conditioner
432,ASDP,Pot
433,BHP,Sewing Machine
434,BJDI,Hat
435,BJYP,Balloon
436,BNS,Dish Antenna
437,GRAC,Candles
438,HKD,Cup & Saucer
439,IGP,Gas Cylinder
440,JHSPT,BUCKET
441,KAJP,School Bag
442,LPI,Whistle
443,MMSP,Iron
444,NUZP,Telephone
445,PJDL,Television
446,PMS,Cup & Saucer
447,RAUP,Cauliflower
448,RAVP,Scissors
449,RDSC,Auto- Rickshaw
450,SHSAP,Almirah
451,SPS,Bat
452,SSRD,Grapes
453,AABHAP,Balloon
454,AACP,Batsman
455,AAHPTY,Apple
456,AAM,CHAPATI ROLLER
457,AAPP,Battery Torch
458,ABD,Neck Tie
459,ABEP,Man Blowing Turha
460,ABGP,Saw
461,ABHP,Ear Rings
462,ABHS,Gas Cylinder
463,ABLP,Pot
464,ABNNP,Tea Filter
465,ABSKP,Plastering Trowel
466,ABSSP,Bat
467,ACDP,Jackfruit
468,ACP,Tooth Brush
469,ADAL,Cup & Saucer
470,ADRP,Auto- Rickshaw
471,ADRSP,Walking Stick
472,AGIMK,BUCKET
473,AHFBK,CHESS BOARD
474,AHIMSASP,HOCKEY & BALL
475,AHNP,CHAPATI ROLLER
476,AIDMMK,Balloon
477,AIJAP,Matchbox
478,AIMAK,Auto- Rickshaw
479,AINHCP,Tractor Chalata Kisan
480,AINPP,Boat with Man and Sail
481,AIP,T.V. Remote
482,AIPTMMK,Capsicum
483,AIRCP,Television
484,AIUC,Pen Nib with Seven Rays
485,AIUUK,COCONUT FARM
486,AIVP,Key
487,AJM,Cup & Saucer
488,AJNSP,Tractor Chalata Kisan
489,AJPI,Helicopter
490,AJPR,Helicopter
491,AKBHAD,Scissors
492,AKHP,Helicopter
493,AKSP,Pants
494,ALINLBP,Glass Tumbler
495,ALOP,Battery Torch
496,ALPP,Cot
497,AMIP,T.V. Remote
498,AMKP,Telephone
499,AMPK,Mike
500,ANAP,Cup & Saucer
501,ANIJP,Glass Tumbler
502,ANNADATA,Tractor Chalata Kisan
503,ANRP,Stool
504,ANSP,Cake
505,APEP,Hat
506,APKSP,Cot
507,ARK,Bricks
508,ASDC,Table
509,ASDHP,Bottle
510,ASGP,Pen Nib with Seven Rays
511,ASJP,Road Roller
